App,CommitSHA,RelativeTestFilePath,Smell
azure-sdk-for-java,dd63b012ba1bc85855a5b2e8cfb0721532479e49,azure-mgmt-website/src/test/java/com/microsoft/azure/management/website/CertificateOrdersTests.java,True
azure-sdk-for-java,ff3d149bc4d1c0a71b72cf14596338c9591e1c30,microsoft-azure-api/src/test/java/com/microsoft/windowsazure/services/media/MediaProcessorIntegrationTest.java,True
jabref,1ef372f6106003b8a5c975099b01ba7272e9b6f9,src/test/java/net/sf/jabref/logic/bibtexkeypattern/MakeLabelWithDatabaseTest.java,False
azure-sdk-for-java,60e1dfda7db2b731cf9d87bb16d3cda99723a0a2,azure-mgmt-resources/src/test/java/com/microsoft/azure/management/resources/DeploymentsTests.java,True
jabref,441964d1ccac41b319acdff80d2f0e8993b6c441,src/test/java/net/sf/jabref/logic/importer/fetcher/zbMATHTest.java,False
jabref,639bfd54158ce7fd4200cdd41da3d9a48b1be978,src/test/java/net/sf/jabref/logic/util/io/UtilFindFileTest.java,False
jabref,886f3ada596e7d832594e855e23553e9ecbc7f33,src/test/java/org/jabref/shared/DBMSConnectionTest.java,False
dropwizard,c6294235b83b974fda9eec5f38d87d6a118b6c02,dropwizard-hibernate/src/test/java/com/yammer/dropwizard/hibernate/tests/HibernateBundleTest.java,False
azure-sdk-for-java,699e2ee0a75b1a3dc76f088332b65150b171d995,azure-mgmt-resources/src/test/java/com/microsoft/azure/management/resources/ResourceIdTests.java,False
jabref,22e586d4d16430bb1617086b101936b4879d2482,src/test/java/net/sf/jabref/logic/util/VersionTest.java,False
azure-sdk-for-java,076e66eb1b45e86d21fac686f5536c82c887cc4d,microsoft-azure-api/src/test/java/com/microsoft/windowsazure/services/media/models/GenericListResultTest.java,True
jabref,ab37a0177319fc9911a7f8f44626c1c43d39105c,src/test/java/net/sf/jabref/importer/fileformat/MsBibImporterTest.java,True
jsoup,62ea04e4d5cbf91b1b1a225c90b8077e6db27e58,src/test/java/org/jsoup/parser/AttributeParseTest.java,False
azure-sdk-for-java,451c424cb8409592f2c0e7a28d88372435f5d983,azure-mgmt-datalake-store/src/test/java/com/microsoft/azure/management/datalake/store/DataLakeStoreFilesystemOperationsTests.java,True
azure-sdk-for-java,31e54d019efe23d9bcce517b938942cd479f3d1a,azure-mgmt-datalake-analytics/src/test/java/com/microsoft/azure/management/datalake/analytics/DataLakeAnalyticsCatalogOperationsTests.java,True
jabref,d43c8cc435bb27879509e99c9d8b1b75d12e2f49,src/test/java/net/sf/jabref/wizard/auximport/AuxSubGeneratorTest.java,False
guice,ee443bce9731bb8da1eb60202f68de4c4c298698,core/test/com/google/inject/InjectorTest.java,True
azure-sdk-for-java,96829b636832750d0232feee932bc7858c2b1ac1,azure-mgmt-datalake-store/src/test/java/com/microsoft/azure/management/datalake/store/DataLakeStoreFilesystemOperationsTests.java,True
azure-sdk-for-java,ba60d2ba39f1e5b186679757f999b1f14648b55b,azure/src/test/java/com/microsoft/azure/management/AzureTests.java,True
jabref,a955c8ef2bae40d49c12909fbc7ae1080beb291b,src/test/java/net/sf/jabref/export/layout/format/NoSpaceBetweenAbbreviationsTest.java,False
jabref,4236e3f8730a7ba5397540ae9a27ee73dda6cd2b,src/test/java/net/sf/jabref/logic/exporter/ModsExportFormatTest.java,False
jabref,bf81b595a77f0f7f254872be6f05a063c44528d8,src/test/java/org/jabref/logic/formatter/bibtexfields/UnicodeConverterTest.java,False
jabref,fca775a3a0d43f1d77bfbce0e4f7efcff3eefcaa,src/test/java/net/sf/jabref/logic/exporter/BibtexDatabaseWriterTest.java,True
dropwizard,fbc3ac5ea130ecb955da64b71e991734c05687f4,dropwizard-client/src/test/java/com/codahale/dropwizard/client/jetty/JettyClientHandlerTest.java,False
dropwizard,5775b737afea3be0a19087316a73966094df0d29,dropwizard-hibernate/src/test/java/io/dropwizard/hibernate/SessionFactoryHealthCheckTest.java,False
jabref,eb7b1950b942efebc7f64ebcaf36229c782a3783,src/test/java/net/sf/jabref/gui/search/MatchesHighlighterTest.java,False
jabref,1143e8d35ec83a9d9024a5ae4e0b4ec87c0eea18,src/test/java/net/sf/jabref/logic/l10n/LocalizationConsistencyTest.java,True
azure-sdk-for-java,8334afac12ab47079af7b161bf86705bf9c0f3a9,management-scheduler/src/test/java/com/microsoft/windowsazure/management/scheduler/JobCollectionOperationsTests.java,False
dropwizard,ed50c67eaf9c8f006b8b6210629008eca0d0e23f,dropwizard-jersey/src/test/java/com/codahale/dropwizard/jersey/caching/CacheControlledResourceMethodDispatchAdapterTest.java,False
jabref,0b328c6a0b297259ba253d428477e51340ed19db,src/test/java/net/sf/jabref/model/entry/TypedBibEntryTest.java,False
jabref,c8959514ce62b242229d52dc1d2f98836eabe65a,src/test/java/net/sf/jabref/logic/util/io/FileNameCleanerTest.java,False
azure-sdk-for-java,de10d59ad05d7d346f82c69f9c63071b150d8cbf,keyvault/keyvault-extensions/src/test/java/com/microsoft/azure/keyvault/extensions/test/SymmetricKeyBCProviderTest.java,False
jabref,a6db056e919889ae29dd69912b1be5de5941021e,src/test/java/net/sf/jabref/logic/layout/format/AuthorAndsReplacerTest.java,False
jabref,fc55e6973cc929b39a78bf47972224fcd77a566b,src/test/java/net/sf/jabref/model/entry/AuthorListTest.java,True
dropwizard,5775b737afea3be0a19087316a73966094df0d29,dropwizard-validation/src/test/java/io/dropwizard/validation/OneOfValidatorTest.java,False
jabref,720eeeb60d97f1ebd1aaa9cd9936ab56a8579cab,src/test/java/net/sf/jabref/importer/fileformat/RepecNepImporterTest.java,True
jabref,b07c89f1987fffbdd2cc751c00432ef5d6943e47,src/test/java/net/sf/jabref/logic/autocompleter/AutoCompleterTest.java,True
jabref,34f900a3acd6548e6a3558e745dbbabb5e25e3dd,src/test/java/net/sf/jabref/model/entry/AuthorListParameterTest.java,False
