App,CommitSHA,RelativeTestFilePath,Smell
jabref,e3f9092d6b2e32e6dbed3985e030f249277368ba,src/test/java/net/sf/jabref/exporter/layout/format/AuthorLastFirstTest.java,False
azure-sdk-for-java,3e1278ee732f3e8814c8fbaee3ee718732664842,azure-samples/src/test/java/com/microsoft/azure/management/samples/AppServiceSampleTests.java,False
jabref,961937e5f305da6390f0ffa3e1409176ece4b1fd,src/test/java/net/sf/jabref/logic/fetcher/ArXivTest.java,True
deeplearning4j,5dfeb4becca7e358dc30623a3b706dfa546d1630,deeplearning4j-core/src/test/java/org/deeplearning4j/nn/conf/MultiNeuralNetConfLayerBuilderTest.java,True
azure-sdk-for-java,4ff59c58b0e5ec5d887babc9b71b12750ac84af9,management-sql/src/test/java/com/microsoft/windowsazure/management/sql/DatabaseOperationOperationsIntegrationTest.java,True
jabref,d45172106d7c6cc4c1ba5c77ad5ffda01da48f20,src/test/java/net/sf/jabref/logic/search/DatabaseSearcherTest.java,False
jabref,05af76765005038130dcd1fc11d4f890b82ed34c,src/test/java/net/sf/jabref/gui/UndoTest.java,False
glowroot,e3513b5dfe7d6393688927d7e3dc84079b19e92c,core/src/test/java/org/glowroot/local/store/CappedDatabaseTest.java,True
deeplearning4j,38d7bd131e3ee65d0fb049e36356066577477b9a,deeplearning4j-core/src/test/java/org/deeplearning4j/datasets/datavec/RecordReaderDataSetiteratorTest.java,True
jabref,36a350cc0df5db55d5dc60f09e5b40305289d364,src/test/java/net/sf/jabref/util/UtilTest.java,False
jabref,fb1f4e7f48930ee5e68f0b3c4ca9103d1b8d0a40,src/test/java/net/sf/jabref/logic/search/SearchQueryTest.java,False
jabref,2937c997099ec62efccabcf6d2473b601e7c874b,src/test/java/net/sf/jabref/logic/search/rules/sets/SearchRuleSetsTest.java,True
mybatis-3,16360092170cdcdd0cf925a8cc04f5edd9e12b34,src/test/java/org/apache/ibatis/submitted/call_setters_on_nulls/CallSettersOnNullsTest.java,False
mybatis-3,d70e491df304189784a3fae2bb4b11e981298ddb,src/test/java/org/apache/ibatis/submitted/complex_column/ComplexColumnTest.java,False
jsoup,8b5fb7be962959a922dafc2073718e1457196043,src/test/java/org/jsoup/safety/CleanerTest.java,False
azure-sdk-for-java,b84180e1012c4b2649e8108d40aad6147c727111,microsoft-azure-api/src/test/java/com/microsoft/windowsazure/services/serviceBus/BrokerPropertiesMapperTest.java,False
jabref,82adb112722b1bf5b5301360651beb051b01f94d,src/test/java/net/sf/jabref/exporter/layout/format/RemoveBracketsAddCommaTest.java,True
glowroot,68d68c00c6560530c3d1c3514cf11ff3e3d0b4f2,core/src/test/java/org/glowroot/server/ui/ConfigJsonServiceTest.java,True
glowroot,4dfffea7f4c33f7301720ab19c12702cdce2b83c,webdriver-tests/src/test/java/org/glowroot/tests/webdriver/ConfigTest.java,True
azure-sdk-for-java,d962002fe0e6f8cfd097fe327e60393eedfd0f76,azure-mgmt-resources/src/test/java/com/microsoft/azure/management/resources/ResourceGroupsTests.java,True
glowroot,29c76d3cc35efea05b2df47ac648a98e4631415f,integration-tests/src/test/java/io/informant/tests/JarFileShadingTest.java,True
javaparser,1411f35e49208b0049c25e57986df98e0c64a907,javaparser-testing/src/test/java/com/github/javaparser/utils/SourceRootTest.java,True
jabref,b5c41e69eeb310aa853ea86aefdafdc53600bb4e,src/test/java/net/sf/jabref/logic/importer/fetcher/zbMATHTest.java,True
jabref,cf0238294dc65466ed0dca910fe41d9990adced6,src/databaseTest/java/net/sf/jabref/shared/DBMSSynchronizerTest.java,True
mybatis-3,543d464d93efa273eb5f2c76f049420f0d33716c,src/test/java/org/apache/ibatis/submitted/generictyperesolution/GenericTypeResolutionTest.java,False
jabref,72d55048a742d02557028c6e57dc8c1b8a99f87a,src/test/java/net/sf/jabref/export/layout/RTFCharsTest.java,False
dropwizard,75b9b9feaa742ca8fd5981e6740b56d811df9612,dropwizard-logging/src/test/java/io/dropwizard/logging/DropwizardLayoutTest.java,True
azure-sdk-for-java,2cb15ec3d4047d83887a2ffaed820de3147f2a96,management-scheduler/src/test/java/com/microsoft/windowsazure/management/scheduler/JobOperationsTests.java,True
jabref,6c1d411dd3ce7298235a6c9dcc937e7cad77ef0d,src/test/java/net/sf/jabref/JabRefPreferencesTest.java,True
dropwizard,75b9b9feaa742ca8fd5981e6740b56d811df9612,dropwizard-client/src/test/java/io/dropwizard/client/HttpClientBuilderTest.java,True
jabref,b5c41e69eeb310aa853ea86aefdafdc53600bb4e,src/test/java/net/sf/jabref/logic/search/DatabaseSearcherTest.java,False
mybatis-3,b9090a61fc0164f68da1c4764f0a69a8b84d30ef,src/test/java/org/apache/ibatis/type/TypeHandlerRegistryTest.java,False
deeplearning4j,c33509451b084d74385fff3eb1a407649ec1bdab,deeplearning4j-core/src/test/java/org/deeplearning4j/util/TimeSeriesUtilsTest.java,False
jabref,f856aa707334a864a940f14bcf959802d91265fd,src/databaseTest/java/net/sf/jabref/shared/DBMSSynchronizerTest.java,True
ebean,db298a349ef4b87cd6c5a8668ec4ac496a45e0c7,src/test/java/org/tests/autofetch/AutofetchEmbeddedTest.java,False
jabref,5bf830bcc1980a94e822aa2669771a8f0b6b6214,src/test/java/net/sf/jabref/journals/logic/JournalAbbreviationRepositoryTest.java,False
deeplearning4j,df7209680dd612ee47fa7d177b61ad53878e7250,deeplearning4j-scaleout/spark/dl4j-spark-nlp/src/test/java/org/deeplearning4j/spark/text/TextPipelineTest.java,True
azure-sdk-for-java,1b0cabd036a79c1edddb1eea63756491c805f888,media/src/test/java/com/microsoft/windowsazure/services/media/MediaServiceTest.java,False
